ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.01,0.0,0.99,62.162626000081985,63.57334195990012,61.5916156936764,62.88471204319163
1,2,Negative,0.01,0.01,0.98,66.86597978035041,68.81534015315512,67.38624766565181,66.30902520526365
1,3,Negative,0.01,0.02,0.97,65.20534726478891,66.47284514953489,66.38457506577797,66.29705907774849
1,4,Negative,0.01,0.0,0.99,68.79480107313114,69.14407635584394,69.45125277216661,68.92216563230213
1,5,Negative,0.01,0.0,0.99,66.07170413526029,65.6234716742417,65.90387081316726,65.50066463863797
1,6,Negative,0.01,0.0,0.99,63.042841185290854,65.06975466205441,63.42438823959162,63.19037022950758
1,7,Negative,0.01,0.0,0.99,61.83368851762461,62.19741364027584,64.55362771212612,64.38004265127606
1,8,Negative,0.01,0.04,0.95,68.71481578296931,68.27148942903895,68.89494976258638,65.96979781702834
1,9,Negative,0.01,0.0,0.99,65.39036729424888,61.98179758749416,65.16592149698783,64.95766879523234
1,10,Negative,0.01,0.0,0.99,64.43212510878476,65.19112630071987,64.31784468878504,65.39120018181575
1,11,Negative,0.01,0.02,0.97,67.38586735428882,66.53936175699394,65.75284282395387,66.23136276265069
1,12,Negative,0.02,0.0,0.98,63.24608478122286,63.25593208035522,62.37373640906665,62.97239644367667
1,13,Negative,0.01,0.01,0.98,66.58493783046347,65.15950372712024,66.80977765969175,65.42615824974001
1,14,Negative,0.02,0.0,0.98,68.92999042132104,67.41412361072955,67.1319527348756,67.18043942622404
1,15,Negative,0.01,0.01,0.98,66.80192409995144,65.86833229325279,63.087341884968566,66.34543732381647
1,16,Negative,0.01,0.0,0.99,67.75402509270282,68.9128142694102,68.08940171753594,66.86262629207803
1,17,Negative,0.01,0.0,0.99,68.03210532558549,65.95135463567948,66.71355201825628,67.68167914661623
1,18,Negative,0.01,0.0,0.99,64.15333319476173,62.224715095910994,63.815351143504614,62.80486532937152
1,19,Negative,0.01,0.02,0.97,69.16044798845141,69.27501879731147,67.22690142164319,67.4657891963009
1,20,Negative,0.02,0.06,0.92,69.56064709524136,68.50233098735688,76.52072526953853,75.10441635594219
