ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.01,0.02,0.97,80.23556254623458,80.47664749036096,80.29102650464182,80.41562742652297
1,2,Homogenous,0.21,0.77,0.02,464.518453437126,456.1037722185647,461.87015196320954,459.07889689373405
1,3,Negative,0.0,0.02,0.98,85.3671796759981,85.66464997321259,84.06144222136186,85.94524834009746
1,4,Aggregated,0.89,0.11,0.0,1646.9653957076698,1571.7077409091344,1648.0749728264925,1644.7913981384122
1,5,Negative,0.0,0.02,0.98,88.57179542332426,88.66929473017501,87.8812426575854,88.24311090570393
1,6,Negative,0.0,0.04,0.96,91.20222567126189,90.12989855197571,90.51191346513326,90.96243878630791
1,7,Negative,0.01,0.02,0.97,84.0352355558764,84.75031244564963,83.6603365089656,85.72818320800843
1,8,Negative,0.0,0.02,0.98,82.49592430744673,85.42468613263713,82.97788512456378,83.01141691668556
1,9,Aggregated,0.86,0.14,0.0,2348.107211177822,2193.0484621966225,2369.678656331794,2309.372223773771
1,10,Homogenous,0.15,0.85,0.0,508.6338989128253,503.82702363245335,500.2929204953252,500.4800866134128
1,11,Aggregated,0.56,0.44,0.0,559.845112213533,540.0690134113179,556.4417295050798,533.6187516256182
1,12,Negative,0.01,0.02,0.97,87.75799373140268,87.5791237075698,87.32832298098208,87.75107560025424
1,13,Negative,0.02,0.09,0.89,107.6499619363928,107.29498498383748,107.7350477288892,106.74693936799986
1,14,Negative,0.01,0.02,0.97,92.9996434492336,90.58482623986656,93.54517879029584,92.59908949263972
1,15,Aggregated,0.92,0.08,0.0,2686.1567466829465,2586.077518832634,2716.303747352604,2639.418644477574
1,16,Aggregated,0.88,0.12,0.0,2623.3913835029516,2407.3437716217695,2625.9994395618214,2567.1654562281046
1,17,Negative,0.0,0.02,0.98,87.94198570256287,88.80334962749203,89.16569055997769,92.37725209215064
1,18,Homogenous,0.2,0.78,0.02,434.064309601948,430.34515559679494,439.4278674824918,434.05822283261887
1,19,Negative,0.0,0.02,0.98,82.92724237184808,83.05482684460776,84.28385379899743,85.42836474752119
