ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.0,0.01,0.99,64.42488700059201,64.65159337011514,65.58241541904664,66.2493231663012
1,2,Negative,0.0,0.0,1.0,60.73262936298363,61.80226294896027,60.66558910938983,61.95390156994631
1,3,Negative,0.0,0.0,1.0,65.86087702307776,67.42621798095755,65.4456011821164,65.38119138433112
1,4,Negative,0.0,0.0,1.0,64.41883977391382,64.58853129645547,63.552849170907905,63.30397080137024
1,5,Negative,0.02,0.0,0.98,61.4908573338426,63.32839275646805,61.65531605580952,60.83143529336934
1,6,Negative,0.01,0.01,0.98,69.52597956939695,70.95278860558341,71.72688793938696,71.73736540547554
1,7,Negative,0.0,0.02,0.98,67.98661797880334,67.482987662088,68.16775817784296,66.15712039523794
1,8,Negative,0.01,0.0,0.99,60.81170624341246,57.97911748201889,60.905224543422776,60.587217430176054
1,9,Negative,0.01,0.02,0.97,74.3733764768667,74.13739994550849,74.51611337520998,75.64365816766156
1,10,Negative,0.0,0.0,1.0,62.49279286081381,62.79928291123451,62.73342407568458,63.73280748348768
1,11,Negative,0.0,0.01,0.99,64.91338509664874,66.09301285245175,67.28885884394649,64.930227080494
1,12,Negative,0.03,0.01,0.96,69.15132973662722,70.1997221454724,72.24747391832528,70.66714581300909
1,13,Negative,0.01,0.0,0.99,63.69589365685553,61.47864557486173,62.85244433927937,64.64187450887204
1,14,Negative,0.0,0.02,0.98,69.97509890614242,72.81836528533103,70.77971887917823,72.87563255827982
1,15,Negative,0.03,0.02,0.95,89.43472073987016,80.48819914800018,85.79911404398743,85.37980690206251
1,16,Negative,0.01,0.0,0.99,60.614169127616776,61.73384367387331,61.478349014572984,59.98577464816745
1,17,Negative,0.0,0.0,1.0,68.74131874191787,69.75112601041363,68.17172278051089,67.8843801052816
1,18,Negative,0.0,0.02,0.98,75.35194065492036,78.81037499114552,77.82900134121269,77.40840507081612
1,19,Negative,0.02,0.07,0.91,72.43218822126926,75.189472659286,75.38428078108615,70.97037949713675
1,20,Negative,0.01,0.0,0.99,67.80927808018828,66.91120958485922,67.67388042333968,68.89167826857198
1,21,Negative,0.01,0.0,0.99,62.75891253384208,62.5909298700542,64.30832575491368,61.708966482295864
1,22,Negative,0.01,0.02,0.97,85.3312968704052,86.27972120244664,85.08307454655869,85.11014121028012
1,23,Negative,0.01,0.0,0.99,71.86509505262302,68.66215059532962,71.99930779610645,70.40017090366933
1,24,Negative,0.01,0.0,0.99,69.3127412055731,68.54212006489996,68.69993330808973,66.71240869745108
1,25,Negative,0.11,0.06,0.83,85.45942542323715,109.15294230591768,93.56529447716892,100.19431483614994
1,26,Negative,0.01,0.02,0.97,71.48649499047579,70.58259927824295,71.21818829428864,73.78632946871625
1,27,Negative,0.01,0.02,0.97,67.55953644531735,67.63866061627866,67.56472585370298,68.97298934691483
1,28,Negative,0.03,0.0,0.97,70.34792788043663,69.8474024219567,70.12697025370022,69.39740937094331
1,29,Negative,0.01,0.02,0.97,76.29232610755781,78.11223674862413,76.5993706582488,74.62766512906467
1,30,Negative,0.01,0.02,0.97,72.02767043792588,72.0691724282294,70.88946570598878,73.25256776406036
1,31,Negative,0.01,0.02,0.97,73.77504484667227,75.95778755427017,73.70184359016199,73.67927078955509
1,32,Negative,0.0,0.02,0.98,71.75085751472247,70.71276707960826,71.22378754946834,71.29173549016429
1,33,Negative,0.01,0.02,0.97,71.90681850129525,71.84649893415255,70.78552089890061,67.09184671197036
1,34,Negative,0.0,0.0,1.0,63.98632689384766,62.76094528192519,61.84662490385625,64.79623753908481
1,35,Negative,0.01,0.0,0.99,64.33373938273246,66.82025805901216,64.3943130282554,66.2345125294377
1,36,Negative,0.01,0.0,0.99,65.93084235567869,64.19243577769393,65.84810217507726,64.54167086841932
1,37,Negative,0.01,0.02,0.97,80.69938669289985,81.50057237422806,82.79041083644938,83.32520673388211
1,38,Negative,0.01,0.02,0.97,66.44752572899279,67.02452451556132,66.15960383816329,69.38908258541679
1,39,Negative,0.0,0.02,0.98,75.19860672183393,77.38450877876014,74.0711742160837,73.76400020994421
1,40,Negative,0.01,0.02,0.97,76.38083071385691,76.51712388753896,76.9801102922105,75.79127563211361
1,41,Negative,0.01,0.02,0.97,67.73833234164334,68.08049537758961,69.4986553201978,67.55339741376787
1,42,Negative,0.01,0.02,0.97,74.09172676465931,73.64035540030756,74.03964613740962,73.90303544511704
1,43,Negative,0.01,0.0,0.99,65.73999066651206,62.045089163278504,64.39870198018335,64.2194886104563
1,44,Negative,0.0,0.0,1.0,61.04341867435613,62.29802646013909,61.543709570071,62.40567777895876
1,45,Negative,0.0,0.0,1.0,63.49357592773643,63.66503866437,62.56125338412244,63.54271808614837
1,46,Negative,0.01,0.02,0.97,65.84060895964606,65.64476462930904,68.24267811618387,66.31667960189918
1,47,Negative,0.01,0.0,0.99,60.44416971002849,63.55862737244283,60.57606703105094,61.766236772092896
1,48,Negative,0.02,0.0,0.98,60.24424547316539,63.07534426057822,62.49084068157077,60.77148944489866
1,49,Negative,0.0,0.02,0.98,62.462106052369194,64.43170593175259,65.18272610423742,64.43724444781026
2,1,Negative,0.01,0.0,0.99,67.02673020683858,66.84244788092943,65.93097405416432,67.53614457389364
2,2,Negative,0.01,0.0,0.99,63.50655154247812,63.66618534076113,65.63181252236114,68.93298614632721
2,3,Negative,0.01,0.0,0.99,65.6768866471231,63.23921300087878,64.24925375161939,65.08777104286494
2,4,Negative,0.01,0.0,0.99,62.58674694721876,62.86230727903964,61.88859393191487,61.35416437331847
2,5,Negative,0.01,0.0,0.99,62.07733950215288,61.98213345588951,61.18932265698231,62.10661177833825
2,6,Negative,0.01,0.02,0.97,74.35150422136567,77.17974162375526,74.8324334229219,76.40416440543547
2,7,Negative,0.0,0.0,1.0,60.80429002122048,58.90566819407576,60.84577297845988,59.0751899747664
2,8,Negative,0.01,0.02,0.97,74.50069928419995,73.96143688631716,73.35294072818576,74.24859081494068
2,9,Negative,0.01,0.0,0.99,63.30418149925632,67.04894592758023,65.61271937221491,63.85831653060646
2,10,Negative,0.01,0.02,0.97,65.43984438467675,66.82418221902361,67.38124050374219,67.871121644
2,11,Negative,0.01,0.02,0.97,75.59860680700069,76.62893668027135,75.70542721791477,77.72555625266608
2,12,Negative,0.01,0.0,0.99,61.933077622679946,63.48654496864154,61.64954132432917,63.35644465585702
2,13,Negative,0.0,0.0,1.0,63.67776701366711,62.99526167438728,63.901448937427574,61.83472780663922
2,14,Negative,0.0,0.0,1.0,71.65278008329139,67.84682436803251,71.13740321021794,69.86546535825354
2,15,Negative,0.01,0.0,0.99,64.33750979727606,64.13460944216524,64.56807498701221,64.96409236348285
2,16,Negative,0.01,0.02,0.97,72.7853793789125,73.39352601200792,72.82820538832141,77.10357024466626
2,17,Negative,0.01,0.02,0.97,71.83612262962896,72.32664481773077,69.51625110094719,70.30070176264513
2,18,Negative,0.01,0.0,0.99,63.66972878106347,65.70987838835833,65.48648192868427,66.99360162131168
2,19,Negative,0.01,0.0,0.99,63.85447809141405,63.88395382695063,64.96155021044777,64.32307731974359
2,20,Negative,0.01,0.0,0.99,62.14386397678947,64.85029644491107,64.23901322574517,65.2833324848473
2,21,Negative,0.0,0.02,0.98,73.1435179371594,70.81303488764718,71.57955502370146,73.01560686517638
2,22,Negative,0.0,0.0,1.0,65.74949539839295,65.972076496265,65.63539028545318,65.84714212039867
2,23,Negative,0.01,0.02,0.97,64.90374312333714,66.08819235379895,66.37383336924216,65.62213186170749
2,24,Negative,0.01,0.0,0.99,67.0857731178123,67.3286271139745,67.27068321819533,68.6608300763337
2,25,Negative,0.01,0.02,0.97,65.2750697259456,65.42336998786257,65.73774271124108,66.54269606812042
2,26,Negative,0.05,0.05,0.9,73.49495218695117,71.94361665810229,72.92152110780643,72.28931107444748
2,27,Negative,0.02,0.02,0.96,64.03153481031259,63.986484047495225,65.43668434247837,66.40394167946718
2,28,Negative,0.01,0.0,0.99,62.32312316149802,59.83238823508893,64.12001080367554,61.47101515332446
2,29,Negative,0.01,0.01,0.98,67.46488347255007,67.9354044223206,71.5314879205234,67.91721520585207
2,30,Negative,0.0,0.02,0.98,70.63829339840862,69.36093312145414,66.6896815732672,71.8682716142963
2,31,Negative,0.0,0.02,0.98,75.37563705444336,76.54542286391614,78.75274954511332,74.95552710528162
2,32,Negative,0.01,0.02,0.97,69.23306501974176,67.41041397026652,69.1228494473182,69.28455955557587
2,33,Negative,0.0,0.02,0.98,64.27857756189866,63.33790246807536,62.46195666161918,62.41419220029613
2,34,Negative,0.01,0.0,0.99,69.17122071985338,66.24200575102105,64.50221255989808,68.72233971575804
2,35,Negative,0.01,0.0,0.99,64.25511289842999,63.91558524273435,63.65195176308137,64.07239333018023
2,36,Negative,0.0,0.02,0.98,70.7753766001409,69.92476330976294,69.49904095901408,72.1392798739123
2,37,Negative,0.01,0.02,0.97,76.10461227407094,72.35297080518743,74.38314811771863,73.91278852143125
2,38,Negative,0.03,0.0,0.97,65.63762885427067,65.40866300096513,66.12154575693108,64.9827806528327
