Metal,Antibiotic,Concentration,Day,Negative,Aggregated,Homogenous,All Droplets,Aggregated%,Homogenous%,Negative%,Concentration_numeric
Zinc,CEFO,0.075,9,2092,0,0,2092,0.0,0.0,100.0,0.075
Zinc,KAN,0,0,1656,581,332,2569,22.615803814713896,12.9233164655508,64.4608797197353,0.0
Zinc,KAN,0,9,773,435,300,1508,28.846153846153843,19.893899204244033,51.25994694960212,0.0
Zinc,KAN,0.05,0,1245,474,213,1932,24.53416149068323,11.024844720496894,64.44099378881988,0.05
Zinc,KAN,0.05,9,1023,374,438,1835,20.381471389645778,23.869209809264305,55.74931880108992,0.05
Zinc,KAN,0.084,0,1366,601,265,2232,26.92652329749104,11.872759856630823,61.200716845878134,0.084
Zinc,KAN,0.084,9,772,225,294,1291,17.428350116189,22.773044151820294,59.798605731990705,0.084
Zinc,KAN,0.14,0,1399,550,260,2209,24.89814395654142,11.770031688546853,63.331824354911724,0.14
Zinc,KAN,0.14,9,1298,340,537,2175,15.632183908045977,24.689655172413794,59.67816091954023,0.14
Zinc,KAN,0.233,0,1377,625,259,2261,27.642636001769127,11.455108359133128,60.902255639097746,0.233
Zinc,KAN,0.233,9,1256,312,496,2064,15.11627906976744,24.031007751937985,60.85271317829457,0.233
Zinc,KAN,0.389,0,1160,334,179,1673,19.964136282127914,10.699342498505679,69.3365212193664,0.389
Zinc,KAN,0.389,9,1072,280,484,1836,15.250544662309368,26.361655773420477,58.387799564270146,0.389
Zinc,KAN,0.648,0,1280,531,254,2065,25.71428571428571,12.300242130750604,61.98547215496368,0.648
Zinc,KAN,0.648,9,1998,3,13,2014,0.14895729890764647,0.6454816285998014,99.20556107249256,0.648
Zinc,KAN,1.08,0,1303,519,258,2080,24.951923076923077,12.403846153846153,62.64423076923077,1.08
Zinc,KAN,1.08,9,1817,0,1,1818,0.0,0.055005500550055,99.94499449944995,1.08
Zinc,KAN,1.8,0,1410,601,198,2209,27.206880941602535,8.963331824354912,63.829787234042556,1.8
Zinc,KAN,1.8,9,2110,0,0,2110,0.0,0.0,100.0,1.8
Zinc,KAN,3,0,2044,0,1,2045,0.0,0.04889975550122249,99.95110024449878,3.0
Zinc,KAN,3,9,2180,0,0,2180,0.0,0.0,100.0,3.0
