ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.0,0.02,0.98,82.1509309726701,83.56879151638094,81.64182616681757,82.86325062347248
1,2,Negative,0.0,0.02,0.98,85.00639422268699,86.76097455852715,85.96182740325634,86.13547238597795
1,3,Aggregated,0.89,0.11,0.0,989.7543127704212,973.865987917773,989.5282963283516,982.4559861348812
1,4,Aggregated,0.83,0.16,0.01,838.4870872367064,833.4529561466352,843.2385556004247,832.9398440958857
1,5,Aggregated,0.66,0.32,0.02,1367.1365181387237,1311.1131819684078,1357.575482467042,1362.3645874249196
1,6,Negative,0.0,0.02,0.98,84.80887647821237,84.36347110515874,84.12363048833095,84.44882325487157
1,7,Negative,0.0,0.02,0.98,95.97977055473416,96.33517764873405,95.2275556441121,95.60388414709416
1,8,Aggregated,0.83,0.17,0.0,843.9148238184794,842.6622362302842,843.6001772244495,847.6854436079461
1,9,Negative,0.0,0.02,0.98,94.06123155001706,94.24255317004514,94.14391428781572,96.56395566785916
1,10,Homogenous,0.32,0.67,0.01,511.1629651553849,508.6144435721685,514.3317106769514,506.4378338936681
1,11,Negative,0.0,0.04,0.96,85.41896298715204,86.93989505431495,85.68506061646735,85.6942548770283
1,12,Aggregated,0.67,0.33,0.0,499.9711272868555,494.7670130548415,495.05218727861256,488.0264236305577
1,13,Homogenous,0.17,0.83,0.0,436.3488910002702,437.7868477660299,438.357714695228,430.1475982700981
1,14,Negative,0.01,0.06,0.93,103.21149144724576,101.38922579577157,101.7066694144596,104.10792211944158
1,15,Negative,0.0,0.02,0.98,88.11325319138308,87.80948658218176,87.19022938970386,87.71992966730585
1,16,Negative,0.01,0.02,0.97,84.97173199778547,87.34687418107228,85.27548677436357,86.98647499957661
1,17,Aggregated,0.82,0.18,0.0,1332.9754943952184,1321.2034339442826,1336.9557679135933,1318.4808509033546
1,18,Aggregated,0.78,0.21,0.01,1081.0142817947,1078.5505784138168,1080.941557844737,1082.1510609168245
1,19,Aggregated,0.61,0.39,0.0,970.6163404625704,953.9452495314536,972.3209366204528,956.0090486244862
1,20,Negative,0.02,0.01,0.97,90.76538568696446,90.70068581651492,91.14675619767456,88.60732585534436
1,21,Negative,0.01,0.02,0.97,86.82718958450545,88.04529943429435,87.37584337490415,86.15166343184228
1,22,Aggregated,0.87,0.12,0.01,1599.8804852462126,1591.3706521069066,1605.4089022395765,1592.413261597198
1,23,Negative,0.0,0.02,0.98,90.30125099038143,89.25813536659098,90.16431343719728,89.35886599426334
1,24,Negative,0.01,0.02,0.97,80.65779705216136,83.01304667881737,81.7593957564336,81.51079474597037
1,25,Negative,0.0,0.03,0.97,98.9665283796707,100.28626474433425,100.8625312526354,98.71938339763308
1,26,Aggregated,0.81,0.19,0.0,1132.7668639654134,1124.5629184386644,1136.95124374812,1115.9811504342251
1,27,Negative,0.02,0.01,0.97,86.28658362852639,85.63008697998976,84.22026246117832,85.84581554344174
1,28,Negative,0.0,0.03,0.97,84.61796114986822,84.31524408876982,83.38560901608741,84.7718566882399
1,29,Negative,0.0,0.02,0.98,95.42181659062317,94.13869265645326,93.5419568550614,94.97963383440948
1,30,Aggregated,0.77,0.22,0.01,1118.9918995175158,1092.6049837640458,1112.5728705908796,1080.3277967720487
1,31,Negative,0.02,0.07,0.91,92.4996537808027,91.86765679998962,90.00896706910174,90.8592758190191
1,32,Aggregated,0.8,0.2,0.0,1022.7791540764888,1013.6711463647345,1036.4012096064191,1004.9548101777586
1,33,Negative,0.02,0.01,0.97,81.71685114656708,82.27740832726022,83.81684383873824,82.45083629326979
1,34,Negative,0.0,0.02,0.98,87.1036837460145,87.69023831636088,85.42586823980713,85.5559846517848
1,35,Aggregated,0.86,0.14,0.0,1255.9096003110435,1234.4384570487418,1266.0824471549276,1248.8188810219408
1,36,Aggregated,0.82,0.17,0.01,1074.7230117116378,1066.0565987077557,1066.9145559197532,1056.0512174965716
1,37,Negative,0.0,0.03,0.97,90.66106116210284,90.81369964575696,90.86243623739722,91.22832121629352
1,38,Negative,0.0,0.02,0.98,92.10874516122897,91.74895364298476,91.01586241797143,90.83555158020596
1,39,Negative,0.0,0.04,0.96,87.77158004007379,86.49114169677114,86.68250434548725,86.98361962486075
1,40,Negative,0.0,0.02,0.98,87.98773490277006,87.78547291650364,85.73211999740403,86.546432125146
1,41,Negative,0.01,0.09,0.9,90.4500554705462,88.69432950224751,89.34097463391157,89.04258063181811
1,42,Negative,0.01,0.02,0.97,86.69842222961728,87.24548736191457,87.37885617570532,86.59535564953774
1,43,Negative,0.0,0.02,0.98,87.27446401747892,86.72891585648603,86.45007758748659,85.67880878372046
1,44,Negative,0.01,0.05,0.94,101.89359992539688,102.36283613743063,102.12651688853624,100.59251518452464
