ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.01,0.02,0.97,93.7770705515784,92.73568960817818,89.93879726245672,95.01506853999756
1,2,Negative,0.01,0.02,0.97,94.35850652308716,96.20062778547724,94.3003153605319,94.7290102792296
1,3,Negative,0.01,0.02,0.97,86.80490272241991,88.24631222254538,87.74073878567174,88.28359167903278
1,4,Negative,0.01,0.02,0.97,93.36562955585885,95.10170028512216,94.10653450206968,94.03179266117849
1,5,Negative,0.02,0.02,0.96,86.85192184963313,87.41597330579663,87.5912842375244,85.4261376150796
1,6,Negative,0.01,0.02,0.97,93.08430439885018,93.1913828215878,92.11127205529068,92.66254140343564
1,7,Negative,0.01,0.02,0.97,94.68304621888323,95.84182814570931,94.59251360078564,96.9706394976148
1,8,Negative,0.02,0.02,0.96,91.8921852032426,92.77467959006208,92.53712157288383,92.4398464485488
1,9,Negative,0.02,0.02,0.96,89.16359491368809,90.3389010029274,89.55057559617222,89.16068665984182
1,10,Negative,0.01,0.02,0.97,100.4225737002239,99.29099856109588,99.03794545375132,99.20952283040224
1,11,Negative,0.02,0.02,0.96,86.32149723543716,85.32262502087866,85.56052527178974,84.82289246883386
1,12,Negative,0.01,0.02,0.97,95.03383668418344,97.80614532215878,96.37272720018882,97.52202860057014
1,13,Negative,0.01,0.02,0.97,96.94002143638642,95.58775404190482,96.56096595983588,93.90156778415786
1,14,Negative,0.01,0.02,0.97,99.30971191327154,98.34661563126063,98.189267167568,99.42871196287147
1,15,Negative,0.02,0.02,0.96,92.54251622932418,92.60054665666472,91.91640304595956,91.44474841710996
1,16,Negative,0.01,0.02,0.97,99.3902527186309,99.02529655071169,98.28714244845644,98.571438735764
1,17,Negative,0.02,0.04,0.94,93.67488267573606,92.47626515451007,92.1521433170605,92.3911923429314
1,18,Negative,0.01,0.02,0.97,100.05087376254914,101.18428902028546,102.03129940571068,101.80412952556674
1,19,Negative,0.01,0.02,0.97,97.94438927275962,99.69987655610214,97.02951698331782,98.90861247217332
1,20,Negative,0.01,0.02,0.97,97.31177103378344,96.41244794348812,96.03008239426372,98.47249420270656
1,21,Negative,0.02,0.02,0.96,95.14739770742784,97.12072058498472,94.38063260303352,95.63420625568182
1,22,Negative,0.01,0.02,0.97,100.575213959299,99.1194021564267,98.87429515531784,99.95034010774371
1,23,Negative,0.02,0.04,0.94,99.2994688355347,100.80739859743682,100.02597945024952,98.61707683200116
1,24,Negative,0.03,0.01,0.96,91.08641494603324,92.09618720271698,89.96020542037229,92.70453179099007
1,25,Negative,0.01,0.02,0.97,97.09240579426636,96.1273357199371,96.56101030857286,96.47588397977574
1,26,Negative,0.03,0.07,0.9,101.4956668011206,102.78622642729698,100.35961868345294,101.19472552677688
1,27,Negative,0.01,0.04,0.95,96.89423928159472,97.76038892188592,97.21181186568371,97.31453145798577
1,28,Negative,0.02,0.02,0.96,96.84385525811392,95.07707974872837,97.43884627017655,96.39104138453712
1,29,Negative,0.01,0.05,0.94,100.11275507646984,103.3903066619111,99.93766490939606,101.80241620419928
1,30,Negative,0.03,0.03,0.94,95.50534151275832,93.80804852537553,93.27729304809412,93.71676823122148
1,31,Negative,0.01,0.02,0.97,100.46873491313949,100.62722144791996,101.2461047569418,100.04899531595912
