ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Aggregated,0.64,0.35,0.01,360.1046542844556,349.49657421254506,357.25234487678017,347.03021705190963
1,2,Negative,0.0,0.0,1.0,62.19098654159518,61.84019226957329,64.08721478158117,62.53841280760955
1,3,Negative,0.0,0.01,0.99,72.84879760384064,71.88982728794241,71.4915197342049,72.47499864304456
1,4,Homogenous,0.16,0.82,0.02,241.2874286137001,245.58342459501048,241.09578612652672,243.0651944377462
1,5,Negative,0.0,0.0,1.0,61.05840853383964,61.78865341613477,61.51772744033215,61.07206694960439
1,6,Negative,0.0,0.0,1.0,66.18595022632849,66.20137101317121,66.53867571143033,67.07633781226204
1,7,Negative,0.0,0.0,1.0,65.67842135019399,65.05518024442816,66.5866291461632,64.89404635561303
1,8,Negative,0.0,0.0,1.0,63.44111994456017,64.06926022537593,62.84396678783378,63.46040894482957
1,9,Aggregated,1.0,0.0,0.0,1194.9404507438726,1072.8189126480024,1234.0079302769095,1152.676026500486
1,10,Negative,0.04,0.05,0.91,69.64042941837548,67.27897296089199,62.14144771799815,65.29347930022738
1,11,Homogenous,0.2,0.75,0.05,215.5834803692171,217.09408106734088,217.11518631301408,217.7701906741652
1,12,Homogenous,0.17,0.8,0.03,270.2405500190305,265.597993511524,264.0184352981339,269.3088921031256
1,13,Aggregated,0.99,0.01,0.0,932.2675921322392,858.4458279405758,923.076787631257,877.8554268260204
1,14,Negative,0.0,0.0,1.0,65.68863136045707,64.17673950617291,65.39294288122724,64.54285222814414
1,15,Aggregated,1.0,0.0,0.0,1213.8335427146137,1093.0714253279502,1193.2076386800943,1113.0019028850083
1,16,Aggregated,0.69,0.31,0.0,421.98434467613424,406.38157279106713,417.8972649937064,408.7259189661136
1,17,Negative,0.01,0.0,0.99,66.12464691202428,64.89356153149288,64.82421940872808,63.56604320813196
1,18,Aggregated,0.98,0.02,0.0,883.1829044283911,787.3893730036193,837.565599466149,801.554125750183
1,19,Negative,0.0,0.0,1.0,64.0811793733427,63.14197860393648,63.178737989097755,66.06737157029141
1,20,Negative,0.0,0.0,1.0,68.34287857501747,67.87615394973147,71.48887658386437,69.85392011511797
1,21,Homogenous,0.18,0.76,0.06,248.0015824080856,242.40898729010885,248.8870051490294,246.00075832236416
1,22,Aggregated,0.64,0.36,0.0,477.03339670080686,460.9180872584043,461.5895765376547,435.99235693213905
1,23,Aggregated,0.99,0.01,0.0,1238.7882664004828,1108.3448425854308,1167.2337033569424,1069.9150582641842
1,24,Negative,0.01,0.0,0.99,66.17521402884134,65.07806555155508,67.15193452307287,67.95954714272335
1,25,Negative,0.0,0.0,1.0,63.11650940196921,65.2819363925428,64.30552715085793,66.52386574691153
1,26,Negative,0.0,0.0,1.0,65.59769159972953,64.82841448531568,65.55108316318999,65.01086912329455
1,27,Negative,0.0,0.0,1.0,67.52809062959014,67.64788883046668,67.31737557420772,65.93281192930166
1,28,Negative,0.0,0.0,1.0,66.01396987570726,65.7645957161871,66.81561176091913,66.56733589700286
1,29,Negative,0.0,0.0,1.0,68.03102823846322,67.02189920547053,67.76267524656436,66.28823879645944
1,30,Homogenous,0.23,0.76,0.01,368.50972918135153,355.5197424316557,375.04816092804776,353.15741685808075
1,31,Negative,0.01,0.0,0.99,63.093057971274135,62.36049325655935,63.349235711076574,63.31136051834682
1,32,Negative,0.0,0.0,1.0,64.62418946587869,66.23062374201166,64.06767434160392,63.670918452463894
1,33,Negative,0.0,0.0,1.0,66.8315286129585,66.0624467899878,66.06746869115526,67.42718221869379
1,34,Aggregated,0.99,0.01,0.0,1263.319505278509,1185.47574432507,1257.8287348798094,1194.495816622189
1,35,Aggregated,0.95,0.04,0.01,1031.787991426825,960.1217810806334,1023.1204072847808,931.569313473668
1,36,Negative,0.0,0.0,1.0,66.70676125832568,66.15306112790432,64.54378487746749,66.33058348830471
1,37,Homogenous,0.16,0.81,0.03,267.5304207697782,265.70412144225725,268.4487532186042,269.26349381063415
1,38,Homogenous,0.18,0.78,0.04,241.83201943136712,243.09975485728185,240.0301774435277,239.78346204806076
1,39,Aggregated,0.84,0.15,0.01,590.0713394224449,556.072096128122,569.9182799622238,537.151731066064
1,40,Aggregated,0.97,0.03,0.0,663.0298674384526,627.553039458154,678.5263364906652,642.31074538133
1,41,Aggregated,0.98,0.02,0.0,1180.4541455863705,1122.1497825141628,1191.9179803256477,1165.4056686388512
1,42,Aggregated,0.99,0.01,0.0,1124.6018353291838,1042.3529034377175,1107.3314038844735,1044.7273167742956
1,43,Negative,0.0,0.0,1.0,62.25280369592684,62.40094311952808,61.405602388904526,62.23620171411105
1,44,Negative,0.0,0.0,1.0,63.99710147590648,66.69316453517433,64.7026042975989,64.49724652431445
1,45,Negative,0.0,0.0,1.0,65.21101342374652,64.78369253382274,64.54379389231812,65.15426285421415
1,46,Negative,0.0,0.0,1.0,65.67054437491112,63.82936442337498,65.711193719618,63.71776236103421
1,47,Homogenous,0.13,0.84,0.03,246.84795450862384,247.3532238416774,248.68329312927813,250.38918832686795
1,48,Aggregated,0.85,0.15,0.0,563.6784000640891,531.563305032276,576.2207508482797,530.5138508319458
1,49,Negative,0.0,0.0,1.0,61.05068689203483,61.6180543337228,60.88595882486064,62.06785549858236
1,50,Negative,0.0,0.0,1.0,62.55126140578352,63.57600261227245,63.06866579164253,62.97209293409179
1,51,Negative,0.0,0.0,1.0,63.16450017179488,63.383271118992894,61.86064223593871,63.01680227366944
1,52,Aggregated,0.72,0.28,0.0,445.37840895697286,424.7534791941879,453.750365947032,403.1303550939251
