ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.02,0.02,0.96,80.6661245644114,81.40378790519884,80.00360959305237,80.93410679783119
1,2,Negative,0.02,0.02,0.96,87.22402022558799,87.25456571969721,86.99150153931794,87.60945040605026
1,3,Negative,0.02,0.02,0.96,86.28682584580952,87.74511012723241,87.9129804246104,85.959808806801
1,4,Negative,0.01,0.02,0.97,91.79362161470152,91.91588282562748,89.7965022303535,90.54801676252134
1,5,Negative,0.01,0.04,0.95,101.75239940994294,99.26158601556348,101.71010217336584,100.88004995102943
1,6,Negative,0.01,0.02,0.97,85.9518267507737,85.01048795748665,85.1949700236641,85.22505932603673
1,7,Negative,0.01,0.02,0.97,92.57178090385725,93.54811707558076,91.84877393066536,91.6711578272338
1,8,Negative,0.02,0.02,0.96,98.94505653736525,99.45337171616166,98.72553858981377,100.82122486455876
1,9,Negative,0.02,0.02,0.96,85.84403625950733,85.10851957368493,85.12734627682721,86.98960772684046
1,10,Negative,0.02,0.03,0.95,89.9487309981493,92.26145239953064,90.61996927526052,91.52506179045002
1,11,Negative,0.01,0.02,0.97,88.61622597924156,87.27676849154051,88.23761514811997,90.08473650952408
1,12,Negative,0.03,0.01,0.96,93.52529397488394,92.7858714405873,92.26571799261473,92.75236711620175
1,13,Negative,0.01,0.02,0.97,97.28149839518444,97.34183351212216,95.50439718251886,96.26623460497784
1,14,Negative,0.02,0.03,0.95,93.77554393417688,94.63972988389104,94.35222038830034,96.04236537396116
1,15,Negative,0.03,0.07,0.9,97.50683252137752,103.25046956645326,96.44563085964842,99.74793064524732
1,16,Negative,0.01,0.02,0.97,94.35254422822726,94.51518973215644,93.83436314409823,93.4702709504956
1,17,Negative,0.01,0.02,0.97,87.99011111840179,87.373190601766,86.01112274574484,88.11942953094609
1,18,Negative,0.03,0.01,0.96,90.59790227965392,90.56947838065749,90.7221710243067,90.95681074978955
1,19,Negative,0.02,0.02,0.96,96.927067297061,95.37205135684997,96.98043904549542,97.937724256688
1,20,Negative,0.02,0.03,0.95,94.06548688988642,95.82890629796589,94.00954280653474,93.44766264129264
1,21,Negative,0.01,0.02,0.97,96.78750290439608,97.47783005395269,95.8856525063469,96.6819231376212
1,22,Negative,0.01,0.02,0.97,96.6523478549293,97.92433382229018,95.2012868975092,95.29319379184398
1,23,Negative,0.01,0.02,0.97,96.1649140516962,97.52982459172398,96.31979309111496,96.93225184876547
1,24,Negative,0.02,0.06,0.92,100.8058205511702,101.7215571325799,100.74572894116945,100.74986609284088
1,25,Negative,0.02,0.05,0.93,91.8388689879166,90.23199703195758,92.79689976395385,89.06776285470829
1,26,Negative,0.02,0.02,0.96,92.4602909003857,92.25537928634776,92.8788590995366,93.10875750038934
1,27,Negative,0.01,0.02,0.97,95.35215954195009,93.59551591230598,94.19477989355352,95.65852632757615
1,28,Negative,0.04,0.08,0.88,104.66054017025942,105.90318755369572,104.91734555928036,103.36185684031852
1,29,Negative,0.01,0.02,0.97,96.71787518443716,96.32459146189063,97.90007425559628,98.09572105370398
1,30,Negative,0.01,0.02,0.97,94.76673373862944,96.72430307829724,95.1469493363768,97.0579396122115
1,31,Negative,0.02,0.05,0.93,95.54510181219656,97.34511951685788,96.33707905843698,97.8645613353483
1,32,Negative,0.03,0.01,0.96,89.87900938641917,90.2627709474334,92.18288664546976,90.37004119974716
1,33,Negative,0.03,0.02,0.95,99.15428045542144,101.00126750951527,98.58854324840496,101.55070651700048
1,34,Negative,0.05,0.08,0.87,104.47113991329962,106.32158996985017,104.28683833368687,104.26775672982065
1,35,Negative,0.03,0.07,0.9,99.7442010775224,98.04432968696555,98.61461851899634,99.90057305809891
1,36,Negative,0.01,0.02,0.97,97.46574821138586,99.92820910899968,96.6908530442676,97.7282537127718
1,37,Negative,0.01,0.07,0.92,101.02122307764516,99.6649128033614,100.28570245701138,101.31450046745306
1,38,Negative,0.01,0.02,0.97,95.8574557985284,95.74999549355834,97.33958730566218,96.61420016487632
1,39,Negative,0.01,0.02,0.97,99.4778921068924,97.63073173462216,98.65080263934895,99.15985470391404
1,40,Negative,0.03,0.08,0.89,95.03904669769702,94.79061073598676,96.08983291643408,95.1922379464076
1,41,Negative,0.01,0.02,0.97,94.501195999078,94.83711971523024,94.73125564256652,95.49591638291037
1,42,Negative,0.02,0.02,0.96,97.40277275036254,98.32949100665992,96.56477772498828,97.94878070727157
1,43,Negative,0.02,0.02,0.96,99.67188375082328,97.3765620538146,97.67765118418409,98.9139257819985
1,44,Negative,0.01,0.02,0.97,95.63022287409792,96.07360261465254,96.09344131549858,95.77347449282468
1,45,Negative,0.01,0.02,0.97,97.12952478937598,97.22363612204902,96.23600771025995,97.27769349418048
1,46,Negative,0.01,0.02,0.97,95.31522178397506,94.87556576789308,95.52329142121908,96.13260034677484
1,47,Negative,0.01,0.02,0.97,96.97524073036816,99.1547241238028,96.7712828915545,96.8994663717657
1,48,Negative,0.03,0.02,0.95,98.41473118803992,100.96648163865352,99.23258200602578,99.6283627365491
1,49,Negative,0.05,0.06,0.89,98.98854743906575,98.34893681504138,98.8156014611124,93.7995186964602
1,50,Negative,0.02,0.02,0.96,93.92922333524189,93.6849056926552,95.78100645932112,95.527864766405
1,51,Negative,0.01,0.02,0.97,94.76839673759709,96.50258646348072,95.89771460892764,96.9253335608214
1,52,Negative,0.01,0.02,0.97,95.506811927431,95.44974163847058,94.83006335302082,94.75297913169828
1,53,Negative,0.01,0.02,0.97,90.62479961879131,90.44496604625569,90.8339986402338,91.06484979527865
1,54,Negative,0.03,0.01,0.96,87.32960394007108,87.6579144706572,89.05341045119872,86.43353625453295
1,55,Negative,0.03,0.07,0.9,86.39973593767343,90.22113616804182,89.38978288050862,89.8731839431851
1,56,Negative,0.02,0.02,0.96,91.5400042928515,90.39743061520323,90.86974089388524,90.81243277997396
1,57,Negative,0.02,0.02,0.96,93.69201906861348,92.56616503035524,93.14930323356872,93.25165656898632
1,58,Negative,0.01,0.02,0.97,93.58250603115698,95.49469395742818,94.37033838816455,93.44141448991928
1,59,Negative,0.01,0.02,0.97,92.37144946014712,92.80247540649007,91.03065793400032,92.54405747301166
1,60,Negative,0.01,0.04,0.95,91.03908363397647,91.94244937682208,92.48018239894589,91.60842119137384
1,61,Negative,0.01,0.02,0.97,88.18361358253037,88.95267201441214,87.9766698039885,88.92611610609617
1,62,Negative,0.01,0.02,0.97,80.99315619138741,81.5994799416041,82.24761368116936,80.07769282379917
1,63,Negative,0.02,0.02,0.96,91.16233575727408,94.78482506575692,93.40674061250104,90.72734818762456
1,64,Negative,0.01,0.02,0.97,87.79936526760372,87.15428988237124,90.15698364058528,90.43387492738144
1,65,Negative,0.01,0.02,0.97,92.34298386292312,94.4441856457376,91.59033983795854,95.81245031960157
1,66,Negative,0.03,0.07,0.9,91.06226484883592,85.91023978569643,86.25499264531254,88.25919275729916
1,67,Negative,0.0,0.02,0.98,77.93340824034107,77.58052355002405,78.4136198874051,78.64166672250809
2,1,Negative,0.03,0.08,0.89,91.36559134296608,89.51072550334271,92.12160743251007,91.95606330520042
2,2,Negative,0.02,0.02,0.96,86.28022723278332,85.36849422517616,83.58393354630704,83.57932189904295
2,3,Negative,0.01,0.04,0.95,91.28821802477933,90.98389527824156,92.06308172606936,90.91375859714104
2,4,Negative,0.01,0.02,0.97,86.56196567324031,86.36368346993055,86.2250913464191,86.69292234876588
2,5,Negative,0.01,0.02,0.97,86.75099030729871,88.24753383699328,86.94164440943251,85.24318868641757
2,6,Negative,0.0,0.02,0.98,95.40728391093973,93.70474231076162,95.64864846019536,94.45730279170692
2,7,Negative,0.02,0.02,0.96,97.56898535498436,97.4011414270783,97.76173733420065,98.473830757793
2,8,Negative,0.01,0.02,0.97,98.81013960225972,97.3248908745182,99.9697211611778,98.75398348875824
2,9,Negative,0.03,0.08,0.89,101.945036763914,102.39966055626508,105.35008188291648,103.37932467468204
2,10,Negative,0.02,0.02,0.96,85.50409791314877,86.37502292571111,86.80857308704691,85.92740930255246
2,11,Negative,0.01,0.02,0.97,94.52237955680296,94.953979636003,93.86925604770391,95.95797247635358
2,12,Negative,0.01,0.02,0.97,94.52325405408573,97.62762502526353,96.511764785531,95.89590776855204
2,13,Negative,0.01,0.02,0.97,94.5768167637858,95.04593584579732,95.018520605734,95.8881245428678
2,14,Negative,0.01,0.02,0.97,96.3657697652008,96.48854993846368,95.99189058540242,96.04828876639124
2,15,Negative,0.01,0.02,0.97,87.09540616524919,89.78368206900791,87.6297333907907,88.33007785504105
2,16,Negative,0.01,0.06,0.93,102.7732234417561,103.61908052957664,103.01568261786248,104.51996242721152
2,17,Negative,0.01,0.02,0.97,91.05159302202514,92.1835570009588,90.66136798369264,92.32906372326504
2,18,Negative,0.01,0.02,0.97,97.70380806094148,98.11699441681696,97.8440727472996,97.82089269404896
2,19,Negative,0.01,0.02,0.97,92.52791757400804,91.62530443178964,93.47507318125588,90.90646910261204
2,20,Negative,0.02,0.03,0.95,95.07490083200236,95.31262790032304,94.24270249428196,93.94415670337236
2,21,Negative,0.01,0.02,0.97,99.64145086684368,103.22200865661006,101.85346809423169,101.43741700906747
2,22,Negative,0.01,0.02,0.97,86.35290616666032,88.2834010541373,88.9102403436143,89.98328244830765
2,23,Negative,0.0,0.02,0.98,99.23787747728664,98.63012764966965,97.6252355925546,97.56357018511608
2,24,Negative,0.03,0.01,0.96,96.7433091969931,97.94693559946865,97.05117653639502,97.09056840112464
2,25,Negative,0.01,0.02,0.97,98.76844483092952,99.56699737103708,97.7827937022725,97.4530656009332
2,26,Negative,0.01,0.03,0.96,97.11035740935849,98.79038140399126,97.51439222218072,98.88349576234992
2,27,Negative,0.02,0.04,0.94,95.63218737995862,97.60527731360033,99.15492984132396,100.13541182683832
2,28,Negative,0.02,0.02,0.96,97.19743091054907,98.7961492870815,96.90945518976037,96.89796017110608
2,29,Negative,0.01,0.02,0.97,98.36301450201124,97.86148974042167,98.45788744433251,98.90267577107346
2,30,Negative,0.02,0.02,0.96,89.49245708996159,89.1792790864726,90.74231488918969,90.452168501083
2,31,Negative,0.01,0.02,0.97,97.18583940050875,95.09804273188786,95.54771404473814,95.4272060289145
2,32,Negative,0.01,0.02,0.97,94.9027423306424,94.01734153927634,94.71357957561143,97.04177832591006
2,33,Negative,0.01,0.03,0.96,95.3854390069206,97.3169896284553,95.93387161561208,96.3079943717094
2,34,Negative,0.01,0.02,0.97,94.34752397666485,94.60307215189748,95.22281749235378,94.24976669343393
2,35,Negative,0.02,0.07,0.91,94.08023561586556,98.06255474119509,96.16140732096346,96.46348674135226
2,36,Negative,0.03,0.03,0.94,97.68364804204909,98.82852163674733,97.97909585281366,96.51539134821218
2,37,Negative,0.05,0.08,0.87,101.7172811211517,100.32753483493237,101.34930868238628,103.51056196927505
2,38,Negative,0.02,0.02,0.96,97.21908230869413,96.66745773398937,97.36361423936336,97.24856933229864
2,39,Negative,0.03,0.01,0.96,90.5645134361277,90.0420378669873,90.03495673800023,90.92542573064183
2,40,Negative,0.01,0.02,0.97,98.61015092607516,97.95363148173304,97.773902842361,98.10980694567758
2,41,Negative,0.01,0.02,0.97,94.36764278987472,94.4099042991611,93.8454848446143,95.22859388052876
2,42,Negative,0.01,0.02,0.97,90.01755402159716,89.04103573949487,88.90769357291202,90.559771201077
2,43,Negative,0.03,0.02,0.95,97.59568184289844,97.0839811060714,97.85382765865496,96.54161154463486
2,44,Negative,0.01,0.02,0.97,96.3419224742442,97.58850248987731,96.76608601380276,96.93450100030036
2,45,Negative,0.02,0.01,0.97,92.79815507348373,93.62545897729863,93.13614351369932,94.065017287905
2,46,Negative,0.01,0.02,0.97,95.83280924309328,95.59710038132728,97.22158869762552,93.70146771217831
2,47,Negative,0.01,0.03,0.96,93.03455007336812,94.73163397873816,94.59472143138588,94.89634041806698
2,48,Negative,0.01,0.02,0.97,91.37154011706912,90.51153253510154,90.2241617232986,91.8851943089026
2,49,Negative,0.01,0.02,0.97,87.69108334901938,88.56719773589049,88.5918058346632,87.45112302812265
2,50,Negative,0.02,0.02,0.96,93.12937681508345,93.11039776414708,92.91737902940685,93.87795462235414
2,51,Negative,0.01,0.03,0.96,98.32214804779454,94.23002370838692,98.2959090786643,97.15238585526872
2,52,Negative,0.0,0.02,0.98,88.33189532505338,87.06118324489677,89.6309544246318,89.32843219150766
2,53,Negative,0.0,0.02,0.98,97.2009272426866,96.13208600911685,97.86882975150051,97.12572325039092
2,54,Negative,0.01,0.02,0.97,93.71222243794602,92.49830343201648,94.27066678026432,95.50948724620464
2,55,Negative,0.01,0.02,0.97,92.21841357115017,93.39709230195814,93.5142864459886,93.42408609142564
2,56,Negative,0.02,0.02,0.96,97.85398667391166,98.6928982514578,97.49224127891154,97.98408008251454
2,57,Negative,0.01,0.02,0.97,88.19847983597674,86.31368711207136,88.57857623481868,88.99081391104568
2,58,Negative,0.01,0.02,0.97,98.5060744935514,99.25765257276488,100.69395164966268,101.23056452363836
2,59,Negative,0.01,0.02,0.97,85.00742556856528,86.97805209814345,87.27353567993669,86.85231861278345
2,60,Negative,0.01,0.02,0.97,90.71828261307547,91.65450138786036,91.06747140119847,91.0216139133742
2,61,Negative,0.01,0.02,0.97,93.8238916082604,94.98205276875944,91.99233939038056,94.80436861338382
2,62,Negative,0.01,0.02,0.97,92.42915286889485,92.06212421602322,91.35332400070814,92.43842668792873
2,63,Negative,0.02,0.01,0.97,90.10836522122896,90.39531864812768,90.64447000996712,88.74575728046091
2,64,Negative,0.0,0.02,0.98,87.24618618147417,87.3906436222353,86.98557905232218,87.19495000489798
2,65,Negative,0.01,0.02,0.97,92.71565505543742,92.7251497320089,92.1016831498793,90.873571969416
2,66,Negative,0.0,0.02,0.98,90.57110427325802,88.48817556962513,88.99490673682442,88.80018287645504
2,67,Negative,0.0,0.02,0.98,76.87892132835631,75.34251286533126,76.88393279432844,77.47570270134878
2,68,Negative,0.01,0.02,0.97,86.38312725878274,87.20362421165657,85.9209379788565,87.1559654444099
3,1,Negative,0.02,0.04,0.94,86.67965089573624,86.00724646670568,85.34626914405112,87.85433902950439
3,2,Negative,0.01,0.02,0.97,85.6284078293495,85.36212857075571,85.8573376918448,84.6353666974008
3,3,Negative,0.02,0.02,0.96,93.28882624976194,94.14464769459944,92.96918848269657,92.82850915343892
3,4,Negative,0.01,0.02,0.97,90.59829087473508,93.11495581328244,90.11677728558789,90.4817878137938
3,5,Negative,0.02,0.02,0.96,83.91283387096445,85.38580529868642,84.2980923213895,84.94316482580717
3,6,Negative,0.01,0.02,0.97,90.2839717319938,92.34095523607532,92.57760457826322,91.2904111745957
3,7,Negative,0.01,0.02,0.97,87.20276576312904,87.09036202874569,87.21977444505035,87.23220279473844
3,8,Negative,0.02,0.02,0.96,90.64186860784508,91.52746836549863,90.40930747555848,89.10097969859652
3,9,Negative,0.02,0.06,0.92,101.74201107733484,104.41469774656582,102.48855284535358,102.8883934614248
3,10,Negative,0.03,0.07,0.9,98.04499001930468,98.48988718085552,94.701137077687,95.8364618223968
3,11,Negative,0.01,0.02,0.97,89.76702388356148,90.8169834555802,90.9175736639184,90.33062987134169
3,12,Negative,0.01,0.03,0.96,95.0933899166767,94.854310573593,96.50739247559318,96.42009515685449
3,13,Negative,0.02,0.02,0.96,87.29258380038584,85.70974076936773,87.94037128491931,86.6430364345623
3,14,Negative,0.01,0.02,0.97,95.48687938408784,97.84942265185116,94.85986422009302,96.29107510526995
3,15,Negative,0.03,0.01,0.96,91.41266875345536,92.94902138878648,92.74810906120048,90.94694312299993
3,16,Negative,0.01,0.03,0.96,97.24451305993358,96.34205200827388,95.00298502560132,95.99691179838784
