ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.0,0.02,0.98,77.45560152399077,76.54475424537608,76.49239361629199,77.62868137083876
1,2,Negative,0.0,0.02,0.98,89.99804000103097,89.02860583274776,89.70400944117313,89.24119696487747
1,3,Negative,0.01,0.02,0.97,82.65436726443824,81.62882113080104,82.77653724578255,83.93253010529696
1,4,Homogenous,0.41,0.59,0.0,649.0977274571751,646.2182499992341,649.4275422910541,648.3672441944618
1,5,Negative,0.0,0.03,0.97,79.7713860396629,79.5237568897279,80.05045107594026,79.66545259582955
1,6,Negative,0.0,0.02,0.98,86.4795687029245,84.91848006413204,85.93138960311586,87.0864029664981
1,7,Negative,0.0,0.02,0.98,77.42749486607147,78.87963980637758,76.91436054101908,78.92132052098887
1,8,Aggregated,0.88,0.12,0.0,1638.6627021911036,1594.4212303637496,1660.8417288000437,1606.27612136077
1,9,Aggregated,0.55,0.44,0.01,628.948247352605,630.7759807541329,635.0647571116456,628.3769217384001
1,10,Aggregated,0.91,0.09,0.0,3413.6660542427435,3315.3032127105707,3391.7821530023757,3221.255239398858
1,11,Negative,0.04,0.08,0.88,102.00744715606146,102.6368010541031,101.31243630638647,101.89421037464048
1,12,Negative,0.0,0.02,0.98,84.54025738833275,85.74864011104938,84.38973946572764,85.51359993111913
1,13,Homogenous,0.43,0.55,0.02,556.3411920234339,549.9700329116813,549.2157669758367,544.6411870082438
1,14,Aggregated,0.91,0.09,0.0,3013.4740257089925,2950.8507436243226,3077.253594571114,2824.544159310426
1,15,Negative,0.01,0.02,0.97,93.0718423053886,92.70099781204068,94.33864894622307,92.8260592528854
1,16,Negative,0.01,0.02,0.97,81.01267659929582,78.7325496908822,80.33249270092116,79.28402213790585
1,17,Negative,0.0,0.02,0.98,90.48408636971226,90.7495353446609,89.01475647630178,90.8885140845528
1,18,Aggregated,0.84,0.16,0.0,3051.0503237060866,2877.636236669975,2984.607316934779,2786.664529779856
1,19,Negative,0.02,0.07,0.91,92.26643272380346,93.21379468020795,89.877718453603,93.31859385530038
1,20,Negative,0.0,0.02,0.98,95.44598570274344,96.61660560338254,97.22150466036447,94.89716155806065
1,21,Negative,0.02,0.09,0.89,108.96689541109072,107.68863542296832,109.8487142778252,108.32366005054143
1,22,Negative,0.01,0.02,0.97,86.87126045735187,83.77220345755427,86.1957236269808,87.29716403698319
1,23,Homogenous,0.06,0.91,0.03,293.5773694599725,288.2355610234208,290.31908148298953,292.5385197810049
1,24,Negative,0.02,0.01,0.97,84.97317662248594,83.66035537373739,83.84829444636489,82.66288445713224
1,25,Homogenous,0.14,0.86,0.0,495.7904564397595,499.9118702335199,500.64320265283686,501.2765158947582
1,26,Aggregated,0.89,0.11,0.0,2706.0955875749214,2525.127484321365,2759.0334665295914,2599.955071826642
1,27,Negative,0.0,0.02,0.98,92.74624810573864,91.73279553666094,91.2147272171806,91.41846989626292
1,28,Negative,0.02,0.01,0.97,87.0363050366712,87.65821811227943,86.57177247154982,86.9411574825744
1,29,Aggregated,0.84,0.16,0.0,2542.786921392698,2381.3104954498485,2462.9749641077024,2361.5597375066272
1,30,Aggregated,0.94,0.06,0.0,4060.894412527809,3922.070354861772,4089.270695836885,4004.0943043964335
1,31,Negative,0.0,0.02,0.98,96.20726628050176,95.7967427756136,95.82169015352896,94.3166924498135
1,32,Negative,0.02,0.01,0.97,83.66179397429943,82.78416718073419,83.25805706110583,82.75612887833984
1,33,Aggregated,0.8,0.19,0.01,710.4494509480251,707.6199774404317,706.9631231806306,697.7478234741493
1,34,Negative,0.0,0.02,0.98,94.18140207436522,94.86302599145188,93.33454745303963,93.7477214404127
1,35,Negative,0.0,0.02,0.98,93.16210128514656,91.24844645276784,94.1094372118771,91.61597029552206
