ImageNumber,ObjectNumber,Classify_Class,Classify_Probability_Aggregated,Classify_Probability_Homogenous,Classify_Probability_Negative,Texture_SumVariance_GFPInput_10_00_256,Texture_SumVariance_GFPInput_10_01_256,Texture_SumVariance_GFPInput_10_02_256,Texture_SumVariance_GFPInput_10_03_256
1,1,Negative,0.0,0.02,0.98,81.23700988370811,79.85298416447097,83.13454650346262,81.35479541337594
1,2,Homogenous,0.15,0.83,0.02,552.6154296260315,562.8628867208022,555.8219223661808,553.3959372670461
1,3,Negative,0.0,0.02,0.98,82.30788840066481,82.68791587481775,83.57822620319126,82.81872420471024
1,4,Homogenous,0.08,0.88,0.04,302.44177616165325,302.01477615696285,303.6272354502471,304.67112169436336
1,5,Aggregated,0.94,0.05,0.01,1190.2505663607972,1151.9059977745635,1174.1620873592829,1156.3631126903738
1,6,Homogenous,0.1,0.88,0.02,367.0486592660345,365.282141625798,361.9638814375962,366.33856525609144
1,7,Negative,0.0,0.02,0.98,80.01930921465214,80.91266905631778,80.47031405101359,79.88357690243049
1,8,Negative,0.0,0.02,0.98,85.14915293403732,83.25108172790294,84.95503341464223,85.86694000691801
1,9,Homogenous,0.11,0.87,0.02,331.75761100562863,330.61640085043837,333.13018839722463,329.82801658932385
1,10,Negative,0.0,0.02,0.98,88.312447718513,87.28495230151651,87.22039395368603,89.02163263705415
1,11,Homogenous,0.13,0.87,0.0,554.8501036451794,554.2411476501893,561.0064082543495,558.350232702252
1,12,Negative,0.0,0.02,0.98,82.37845298872946,84.03484911338694,82.40724456451977,82.17942754892897
1,13,Homogenous,0.19,0.81,0.0,572.8545973927471,570.8568616167227,578.1115400075582,574.537937257709
1,14,Homogenous,0.35,0.65,0.0,570.6653387331949,561.3934521539259,559.9564838207916,562.8347466669288
1,15,Homogenous,0.24,0.73,0.03,595.9817951541054,580.6443412188046,591.1080259070995,577.693305665598
1,16,Homogenous,0.12,0.88,0.0,458.2941525586457,458.3072952709403,462.1534583435682,455.5290671605926
1,17,Negative,0.0,0.02,0.98,88.90306313001258,90.25256989916544,89.86039115480958,91.47269390504226
1,18,Negative,0.0,0.02,0.98,83.50207317564235,85.16540414114309,85.73160520178595,84.43829382879579
1,19,Negative,0.02,0.01,0.97,81.70387454929482,82.82694246992219,83.58421553122923,83.36064979982706
1,20,Negative,0.0,0.02,0.98,91.31799381551906,92.7340737914879,93.57625459995296,92.26927365450008
1,21,Negative,0.0,0.02,0.98,87.95836140158303,88.04904854658082,87.08021880943727,87.0580317018102
1,22,Negative,0.0,0.02,0.98,85.00317504250637,87.42038402438232,85.81811769854869,86.13038066483551
1,23,Negative,0.02,0.08,0.9,81.68041731979764,82.55737283816524,82.37727239419058,80.88824982326707
1,24,Homogenous,0.12,0.88,0.0,545.8115283421334,547.1502267402434,555.4450843623918,544.5857264540164
1,25,Homogenous,0.1,0.89,0.01,351.9246509270199,350.38989539759154,352.00658546398404,351.08849392453135
1,26,Negative,0.01,0.02,0.97,83.94596637203796,83.76434525957234,83.53586373843649,84.05709062839395
1,27,Aggregated,0.59,0.4,0.01,557.9791577147989,538.444624366804,560.5052665511798,553.6238571642766
1,28,Negative,0.0,0.02,0.98,91.44157561658426,90.50133265623384,92.69300167799724,91.001929185574
1,29,Negative,0.0,0.02,0.98,90.3825266224252,89.7348884958244,90.09270808573508,89.21417865039922
1,30,Negative,0.01,0.02,0.97,89.19813793622478,90.51055698476972,90.50294161962272,90.1384153511869
1,31,Negative,0.0,0.02,0.98,85.51042161337398,86.12358961205115,84.89523219491872,86.25299900427319
1,32,Homogenous,0.06,0.92,0.02,313.032780124767,309.2272001459353,308.66971420325604,310.6124753841591
1,33,Negative,0.01,0.02,0.97,86.08205480834334,86.92496114534555,85.60191834424933,86.9396772250422
1,34,Aggregated,0.98,0.02,0.0,1516.1042314380602,1459.8560547621596,1510.598289645115,1493.1562682804529
1,35,Homogenous,0.15,0.83,0.02,365.3150182876054,364.4569364913539,368.4971745393882,369.60396944744366
1,36,Negative,0.0,0.02,0.98,83.92911331955503,84.1257592499905,81.91124842229823,83.91220763593742
1,37,Negative,0.0,0.02,0.98,87.73061796177387,86.97390702441294,88.24708441204189,86.9156229620217
1,38,Negative,0.0,0.02,0.98,90.43398776145256,91.5131316095568,89.81836586872669,89.54549840578039
1,39,Homogenous,0.1,0.89,0.01,603.7256253750347,598.7956520513471,597.4511355933928,599.8215427897658
1,40,Homogenous,0.08,0.92,0.0,599.3340389756759,600.9655918106337,607.3824246561499,594.2816298129119
1,41,Negative,0.01,0.04,0.95,90.2320272775383,89.62920143356865,87.98890240877313,89.05689562266753
1,42,Negative,0.0,0.02,0.98,90.37008930173158,92.16049521322408,89.6280317452248,90.46083869947722
1,43,Negative,0.0,0.02,0.98,91.42458546357012,91.6165191665487,90.35043247178106,92.54406063952092
1,44,Homogenous,0.12,0.87,0.01,346.8308620767125,344.28146349503277,345.12477159262266,340.25069572377856
1,45,Negative,0.0,0.02,0.98,91.268140103931,91.6409853600568,89.46782614813645,91.07675386401712
1,46,Negative,0.0,0.02,0.98,90.8425689726925,92.37675872287366,90.77088610239258,90.95612729598425
1,47,Negative,0.0,0.04,0.96,89.1359276734824,90.73079545651012,90.57540919668622,90.39342520843434
1,48,Homogenous,0.14,0.84,0.02,487.944919268747,484.7894038375216,480.1074496152414,482.38949498585725
1,49,Negative,0.01,0.02,0.97,83.18695091538615,86.84830996435812,84.00519722087239,86.37062888623177
1,50,Negative,0.0,0.04,0.96,88.64892580262227,88.53604705499214,90.16628372723665,89.780003095898
1,51,Negative,0.01,0.02,0.97,88.47748776810857,86.94418277791482,87.74484422182553,86.96022053182372
1,52,Negative,0.0,0.02,0.98,80.98203257104927,80.44765617036154,80.21687053468281,80.96397710381245
1,53,Negative,0.02,0.07,0.91,87.72309918793854,88.91800523485148,90.11510333166352,91.69366427020702
1,54,Negative,0.0,0.04,0.96,85.71144930212427,87.11043269751497,86.52649624340557,86.68472801666712
1,55,Negative,0.0,0.02,0.98,85.84700373168346,84.98357283426083,84.36190520375544,84.90622482475015
1,56,Aggregated,0.93,0.07,0.0,950.3917933892636,918.5791880401644,945.912907350732,918.9422699564956
1,57,Homogenous,0.34,0.65,0.01,513.7817069046987,494.73210850272017,509.1068547312789,498.6144664679596
1,58,Negative,0.02,0.02,0.96,82.9835606234675,81.7692849527013,81.97381225572803,83.11279727471856
1,59,Negative,0.0,0.02,0.98,85.85507616220673,85.26198638386745,86.15695105032319,86.64560122626563
1,60,Negative,0.01,0.02,0.97,78.76632941759246,77.82345858336814,77.76682706489177,77.07820511612303
1,61,Homogenous,0.06,0.92,0.02,325.8873634085928,326.3925155289153,325.54730174855354,329.112582299819
1,62,Negative,0.0,0.02,0.98,80.9278731238849,79.41806904810323,80.07814542866168,80.01982976117606
1,63,Negative,0.0,0.02,0.98,83.27233501821485,84.52226101970496,83.70799105422356,83.62431969069877
1,64,Negative,0.02,0.02,0.96,80.60180384984926,82.38900500331346,81.14389017805826,82.0169244324889
1,65,Aggregated,0.91,0.09,0.0,715.6233957062263,696.1347046943747,718.4666619711406,696.4924079697712
1,66,Negative,0.02,0.01,0.97,76.34573836350921,77.37002633811889,76.86317342892497,76.43497648012772
1,67,Negative,0.0,0.02,0.98,79.54551804343782,79.61859732854748,80.72589796320625,80.56730848489372
1,68,Negative,0.01,0.02,0.97,72.94907001178629,71.73828743103931,75.0107292390311,73.00454953371974
